id_componente_curricular,disc_mean,total_alunos,ano_periodo
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,7.15,75,2014_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.58,63,2014_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.55,86,2014_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.59,68,2014_1
CÁLCULO DIFERENCIAL E INTEGRAL I,4.2,29,2014_1
CÁLCULO DIFERENCIAL E INTEGRAL I,3.18,13,2014_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.23,55,2014_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.44,61,2014_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,3.48,33,2014_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.13,20,2014_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,6.04,21,2014_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.49,74,2014_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.59,21,2014_2
CÁLCULO DIFERENCIAL E INTEGRAL I,4.61,16,2014_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.75,68,2014_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.0,79,2014_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.89,81,2014_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,4.24,35,2014_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,4.15,43,2014_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,6.69,76,2015_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.6,76,2015_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.65,70,2015_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.74,73,2015_1
CÁLCULO DIFERENCIAL E INTEGRAL I,6.45,78,2015_1
CÁLCULO DIFERENCIAL E INTEGRAL I,2.48,34,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.97,86,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,1.71,27,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.94,69,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.64,14,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,4.2,52,2015_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,4.43,43,2015_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,6.61,83,2015_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.41,18,2015_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.58,35,2015_2
CÁLCULO DIFERENCIAL E INTEGRAL I,2.64,47,2015_2
CÁLCULO DIFERENCIAL E INTEGRAL I,4.14,72,2015_2
CÁLCULO DIFERENCIAL E INTEGRAL I,2.31,34,2015_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.5,27,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,4.68,103,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.24,68,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.98,90,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.36,48,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,1.9,32,2015_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,3.0,58,2015_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.46,71,2016_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.42,70,2016_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.49,81,2016_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,2.13,81,2016_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.19,79,2016_1
CÁLCULO DIFERENCIAL E INTEGRAL I,1.65,56,2016_1
CÁLCULO DIFERENCIAL E INTEGRAL I,1.82,66,2016_1
CÁLCULO DIFERENCIAL E INTEGRAL I,2.65,48,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,1.9,85,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,1.78,80,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.9,77,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,3.02,52,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,3.37,32,2016_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,2.41,51,2016_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.48,107,2016_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,2.3,79,2016_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.63,54,2016_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.07,40,2016_2
CÁLCULO DIFERENCIAL E INTEGRAL I,3.25,24,2016_2
CÁLCULO DIFERENCIAL E INTEGRAL I,5.47,65,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,3.15,57,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.61,50,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.33,73,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.25,64,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.22,19,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,2.28,39,2016_2
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,2.56,72,2016_2
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,4.07,91,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.42,86,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,2.68,103,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.62,95,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.44,100,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,2.4,51,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,4.22,56,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,3.77,37,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,1.01,75,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.56,96,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.85,93,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,1.54,49,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,1.0,58,2017_1
